word,type,level,中文解釋
a/an,art.,1,一/一個
able,adj.,1,能夠
about,prep./adv.,1,關於
above,prep./adv./adj.,1,以上
according to,prep.,1,根據
across,prep./adv.,1,橫過
act,n./v.,1,法案
action,n.,1,行動/動作
actor/actress,n.,1,演員
add,v.,1,加
address,n./v.,1,地址
adult,n./adj.,1,成人
afraid,Adj.,1,害怕
after,prep./conj./adv.,1,後
afternoon,n.,1,下午
again,adv.,1,再次
against,prep.,1,反對
age,n./v.,1,年齡
ago,adv.,1,前
agree(ment),v./(n.),1,同意
ahead,adv.,1,先
air,n.,1,空氣
airmail,n.,1,航空郵件
airplane/plane,n.,1,飛機
airport,n.,1,機場
all,adj./adv./pron./n.,1,所有
allow,v.,1,允許
almost,adv.,1,幾乎
alone,adj./adv.,1,單獨
along,prep./adv.,1,沿
already,adv.,1,已經
also,adv.,1,也
always,adv.,1,總是
am,v.,1,上午
among,prep.,1,其中
and,conj.,1,和
anger,n.,1,憤怒/生氣
angry,adj.,1,憤怒
animal,n.,1,動物
another,adj./pron.,1,另一個
answer,n./v.,1,回答
ant,n.,1,螞蟻
any,adj./pron./adv.,1,任何
anything,pron.,1,什麼
ape,n./v.,1,猿
appear,v.,1,出現
apple,n.,1,蘋果
April/Apr.,n.,1,四月
are,v.,1,是
area,n.,1,區域
arm,n.,1,臂
army,n.,1,軍隊
around,adv./prep.,1,周圍
art,n.,1,藝術
as,adv./conj./prep./pron.,1,如
ask,v.,1,問
at,prep.,1,在
August/Aug.,n.,1,八月
aunt/auntie/aunty,n.,1,阿姨
autumn/fall,n.,1,秋季
away,adv.,1,遠
baby,n.,1,寶貝
back,n./adj./adv./v.,1,背部
bad,adj.,1,壞
bag,n.,1,袋
ball,n./v.,1,球
balloon,n./v.,1,氣球
banana,n.,1,香蕉
band,n.,1,帶
bank(1),n.,1,銀行
bank(2),n./v.,1,岸/堤
bar,n./v.,1,酒吧
barber,n.,1,理髮師
base,n./v.,1,基礎
baseball,n.,1,棒球
basic,adj.,1,基本
basket,n.,1,籃子
basketball,n.,1,籃球
bat(1),n./v.,1,指令
bat(2),n.,1,蝙蝠
bath,n.,1,浴
bathe,v.,1,洗澡
bathroom,n.,1,浴室
be,v.,1,是
beach,n./v.,1,海灘
bear(1),n.,1,熊
beat,v./n.,1,擊敗
beautiful,adj.,1,漂亮
beauty,n.,1,美女
because,conj.,1,因為
become,v.,1,成為
bed,n.,1,床
bee,n.,1,蜜蜂
before,conj./prep./adv.,1,之前
begin,v.,1,開始
behind,prep./adv.,1,背後
believe,v.,1,相信
bell,n.,1,鐘
belong,v.,1,屬於
below,prep./adv.,1,下面
beside,prep.,1,旁
best,adj./adv./n./v.,1,最好
better,adj./adv./n./v.,1,更好
between,prep./adv.,1,之間
bicycle/bike,n.,1,腳踏車
big,adj.,1,大
bird,n.,1,鳥
birth,n.,1,分娩
bit,n.,1,位
bite,v./n.,1,咬
black,adj./n.,1,黑色
block,n./v.,1,塊
blood,n.,1,血液
blow,v./n.,1,吹
blue,adj./n.,1,藍色
boat,n.,1,船
body,n.,1,身體
bone,n.,1,骨
book(1),n.,1,書
book(2),v.,1,預定
born,adj.,1,天生
both,adj./pron./adv.,1,都
bottom,n./adj./v.,1,底部
bowl,n.,1,弓
box,n./v.,1,盒子
boy,n.,1,男孩
brave,adj.,1,勇敢
bread,n.,1,麵包
break,v./n.,1,打破
breakfast,n./v.,1,早餐
bridge,n./v.,1,橋梁
bright,adj./adv.,1,亮
bring,v.,1,帶來
brother,n.,1,哥哥
brown,adj./n./v.,1,棕色
bug,n./v.,1,竊聽器
build,v.,1,建立
building,n.,1,
bus,n./v.,1,
busy,adj./v.,1,
but,conj./prep./adv.,1,
butter,n./v.,1,
butterfly,n.,1,
buy,v./n.,1,
by,prep./adv.,1,
cage,n./v.,1,
cake,n.,1,
call,v./n.,1,
camel,n.,1,
camera,n.,1,
camp,n./v.,1,
can(1),v.(aux.),1,
can(2),n./v.,1,
candy/sweet,n.,1,
cap,n./v.,1,
car,n.,1,
card,n.,1,
care,n./v.,1,
careful,adj.,1,
carry,v.,1,
case(1),n.,1,
case(2),n./v.,1,
cat,n.,1,
catch,v./n.,1,
cause,n./v.,1,
cent,n.,1,
center,n./v.,1,
certain,adj./pron.,1,
chair,n./v.,1,
chance,n./v.,1,
chart,n./v.,1,
chase,v./n.,1,
check,v./n.,1,
chick,n.,1,
chicken,n.,1,
chief,adj./n.,1,
child,n.,1,
Christmas/Xmas,n.,1,
church,n.,1,
city,n.,1,
class,n./v.,1,
clean,adj./v./adv./n.,1,
clear,adj./v./adv.,1,
climb,v./n.,1,
clock,n.,1,
close(1),adj./adv.,1,
close(2),v./n.,1,
cloud,n./v.,1,
coast,n.,1,
coat,n./v.,1,
cocoa,n.,1,
coffee,n.,1,
cola/Coke,n.,1,
cold,adj./n.,1,
color,n./v.,1,
come,v.,1,
common,adj./n.,1,
continue,v.,1,
cook,v./n.,1,
cookie/cooky,n.,1,
cool,adj./n./v.,1,
corn,n.,1,
correct,adj./v.,1,
cost,n./v.,1,
count,v./n.,1,
country,n.,1,
course,n./v.,1,
cover,v./n.,1,
cow,n.,1,
cowboy,n.,1,
cry,v./n.,1,
cub,n.,1,
cup,n./v.,1,
cut,v./n.,1,
cute,adj.,1,
daddy/dad/papa/pa/pop,n.,1,
dance,v./n.,1,
dancer,n.,1,
danger,n.,1,
dark,adj./n.,1,
date,n./v.,1,
daughter,n.,1,
day,n.,1,
dead,adj.,1,
deal,v./n.,1,
dear,adj./n./adv.,1,
death,n.,1,
December/Dec.,n.,1,
decide,v.,1,
deep,adj./adv.,1,
deer,n.,1,
desk,n.,1,
die,v.,1,
different,adj.,1,
difficult,adj.,1,
dig,v./n.,1,
dinner,n.,1,
direct,adj./adv./v.,1,
dirty,adj./v.,1,
discover,v.,1,
dish,n./v.,1,
do,v./aux.,1,
doctor/doc,n.,1,
dog,n.,1,
doll,n.,1,
dollar/buck,n.,1,
door,n.,1,
dove,n.,1,
down,adv./prep./adj./v./n.,1,
downstairs,adv./adj./n.,1,
dozen,n.,1,
draw,v./n.,1,
dream,n./v.,1,
drink,v./n.,1,
drive,v./n.,1,
driver,n.,1,
